Listing extensions (default action, see --help).
Looking for the newly published extensions in registry.quarkus.io
Current Quarkus extensions installable: 

✬ ArtifactId                                         Extension                                                    Version                   Guide
✬ camel-quarkus-datasonnet                           Camel DataSonnet                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/datasonnet.html
✬ camel-quarkus-debezium-mongodb                     Camel Debezium MongoDB Connector                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/debezium-mongodb.html
✬ camel-quarkus-debezium-mysql                       Camel Debezium MySQL Connector                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/debezium-mysql.html
✬ camel-quarkus-debezium-postgres                    Camel Debezium PostgresSQL Connector                         3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/debezium-postgres.html
✬ camel-quarkus-debezium-sqlserver                   Camel Debezium SQL Server Connector                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/debezium-sqlserver.html
✬ camel-quarkus-debug                                Camel Debug                                                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/debug.html
✬ camel-quarkus-digitalocean                         Camel DigitalOcean                                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/digitalocean.html
✬ camel-quarkus-direct                               Camel Direct                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/direct.html
✬ camel-quarkus-disruptor                            Camel Disruptor                                              3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/disruptor.html
✬ camel-quarkus-dropbox                              Camel Dropbox                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/dropbox.html
✬ camel-quarkus-elasticsearch-rest-client            Camel Elasticsearch Low level Rest Client                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/elasticsearch-rest-client.html
✬ camel-quarkus-exec                                 Camel Exec                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/exec.html
✬ camel-quarkus-fhir                                 Camel FHIR                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/fhir.html
✬ camel-quarkus-file                                 Camel File                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/file.html
✬ camel-quarkus-file-cluster-service                 Camel File Cluster Service                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/file-cluster-service.html
✬ camel-quarkus-file-watch                           Camel File Watch                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/file-watch.html
✬ camel-quarkus-flatpack                             Camel Flatpack                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/flatpack.html
✬ camel-quarkus-fop                                  Camel FOP                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/fop.html
✬ camel-quarkus-freemarker                           Camel Freemarker                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/freemarker.html
✬ camel-quarkus-ftp                                  Camel FTP                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/ftp.html
✬ camel-quarkus-geocoder                             Camel Geocoder                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/geocoder.html
✬ camel-quarkus-git                                  Camel Git                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/git.html
✬ camel-quarkus-github                               Camel GitHub                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/github.html
